price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,receipt_quantity,product_name,product_brands,product_categories,product_nutriscore,product_image_url,store_name,store_city,store_country,store_lat,store_lon,created
182,3329483323756,3.61,False,,EUR,2023-11-27,,Muesli croustillant chocolat,MARKAL BIO,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:chocolate-cereals', 'en:mueslis', 'en:mueslis-with-chocolate']",c,https://images.openfoodfacts.org/images/products/332/948/332/3756/front_fr.29.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:04.741197Z
183,3329483413754,3.39,False,,EUR,2023-11-27,,Muesli Croustillant Fruits,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:cereals-with-fruits', 'en:mueslis', 'en:crunchy-mueslis', 'en:mueslis-with-fruits', 'en:crunchy-mueslis-with-fruits']",d,https://images.openfoodfacts.org/images/products/332/948/341/3754/front_fr.6.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:05.924645Z
184,3329483512006,2.23,False,,EUR,2023-11-27,,POPS DE BLE AU MIEL,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:puffed-grains', 'en:puffed-cereals', 'en:puffed-wheat', 'en:puffed-wheat-with-honey']",d,https://images.openfoodfacts.org/images/products/332/948/351/2006/front_fr.16.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:07.099770Z
185,3329483522500,2.62,False,,EUR,2023-11-27,,Riz Souffle Au Cacao SG,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:breakfasts', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:breakfast-cereals', 'en:puffed-grains', 'en:chocolate-cereals', 'en:puffed-cereals', 'en:puffed-rice', 'en:chocolate-puffed-rice']",d,https://images.openfoodfacts.org/images/products/332/948/352/2500/front_fr.33.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:08.268503Z
186,3329484411209,3.11,False,,EUR,2023-11-27,,Lentilles vertes Bio,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:legumes', 'en:seeds', 'en:vegetables-based-foods', 'en:legume-seeds', 'en:pulses', 'en:lentils', 'en:green-lentils', 'fr:lentilles-vertes-bio']",a,https://images.openfoodfacts.org/images/products/332/948/441/1209/front_fr.6.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:09.448166Z
187,3329484485002,4.22,False,,EUR,2023-11-27,,Lentilles Noires Béluga,Markal,[],unknown,https://images.openfoodfacts.org/images/products/332/948/448/5002/front_fr.13.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:10.631630Z
188,3329486000135,2.59,False,,EUR,2023-11-27,,Couscous oriental,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:seeds', 'en:cereals-and-their-products', 'en:meals', 'en:cereal-grains', 'en:plant-based-meals', 'en:couscous']",b,https://images.openfoodfacts.org/images/products/332/948/600/0135/front_fr.7.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:11.806460Z
189,3329486661251,3.07,False,,EUR,2023-11-27,,Flocons De Pomme De Terre,Markal,[],unknown,https://images.openfoodfacts.org/images/products/332/948/666/1251/front_fr.15.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:13.021490Z
190,3329486701254,3.8,False,,EUR,2023-11-27,,Levure maltée,MARKAL,"['en:food-additives', 'en:yeast', 'fr:levure']",not-applicable,https://images.openfoodfacts.org/images/products/332/948/670/1254/front_fr.30.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:14.278756Z
191,3329487101756,2.57,False,,EUR,2023-11-27,,Protéines de soja gros morceaux,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:meat-alternatives', 'en:meat-analogues', 'en:textured-vegetable-protein', 'fr:proteines-de-soja']",a,https://images.openfoodfacts.org/images/products/332/948/710/1756/front_fr.59.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:15.479449Z
192,3329487111755,2.57,False,,EUR,2023-11-27,,Protéines de soja petits morceaux,"Markal, Markal Bio","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:meat-alternatives', 'en:meat-analogues', 'en:textured-vegetable-protein', 'en:textured-soy-protein']",a,https://images.openfoodfacts.org/images/products/332/948/711/1755/front_fr.23.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:16.650778Z
193,3329487131258,5.9,False,,EUR,2023-11-27,,Noix de cajou,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:cashew-nuts']",b,https://images.openfoodfacts.org/images/products/332/948/713/1258/front_fr.6.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:17.833285Z
194,3329487301255,5.0,False,,EUR,2023-11-27,,Amande decortiquées,Markal,"['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:nuts-and-their-products', 'en:nuts', 'en:shelled-nuts', 'en:almonds', 'en:shelled-almonds']",a,https://images.openfoodfacts.org/images/products/332/948/730/1255/front_fr.21.400.jpg,L'Éléfàn,Grenoble,France,45.1750672,5.7304083,2023-11-27T11:42:19.002978Z
