price_id,product_code,price,price_is_discounted,price_without_discount,currency,date,product_name,product_brands,product_categories,product_nutriscore,store_name,store_city,store_country,created
1,1541513213246,27.7,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:13.979801Z
2,1541513213253,27.7,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:15.342832Z
3,1541513213260,26.38,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:16.613932Z
4,1541513213277,39.57,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:17.886599Z
5,1541513213284,59.36,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:19.167029Z
6,1541513213291,46.17,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:20.348694Z
7,1541513213307,11.87,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:21.527838Z
8,1541513213314,9.89,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:22.700897Z
9,1541513213338,7.65,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:23.928933Z
10,1541513213345,3.3,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:25.114303Z
11,1541513213352,3.3,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:26.429111Z
12,1541513213369,4.75,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:27.649112Z
13,3019116017960,2.93,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:28.828260Z
14,3019116017977,2.06,False,,EUR,2023-11-27,,,[],,L'Éléfàn,Grenoble,France,2023-11-27T11:37:30.019722Z
